wl,n,k
863.06,1.594442,0.011347
864.62,1.594619,0.01158
866.18,1.594809,0.011799
867.75,1.59501,0.012005
869.31,1.595221,0.012196
870.87,1.595443,0.012373
872.43,1.595673,0.012534
873.99,1.595911,0.012679
875.55,1.596156,0.012808
877.11,1.596408,0.01292
878.66,1.596664,0.013016
880.22,1.596923,0.013094
881.78,1.597186,0.013155
883.34,1.597451,0.013199
884.9,1.597717,0.013225
886.46,1.597983,0.013235
888.02,1.598247,0.013227
889.57,1.59851,0.013203
891.13,1.59877,0.013162
892.69,1.599025,0.013106
894.25,1.599276,0.013033
895.8,1.599522,0.012945
897.36,1.599761,0.012843
898.92,1.599993,0.012726
900.47,1.600218,0.012595
902.03,1.600434,0.012452
903.59,1.600641,0.012296
905.14,1.600839,0.012128
906.7,1.601026,0.011949
908.25,1.601203,0.01176
909.81,1.601369,0.011561
911.36,1.601524,0.011353
912.92,1.601668,0.011137
914.47,1.601799,0.010914
916.02,1.601919,0.010684
917.58,1.602027,0.010448
919.13,1.602122,0.010207
920.69,1.602206,0.009961
922.24,1.602277,0.009711
923.79,1.602336,0.009459
925.35,1.602382,0.009204
926.9,1.602417,0.008947
928.45,1.60244,0.008689
930,1.602452,0.00843
931.55,1.602452,0.008172
933.11,1.602441,0.007914
934.66,1.602419,0.007657
936.21,1.602386,0.007402
937.76,1.602343,0.007149
939.31,1.60229,0.006898
940.86,1.602227,0.006651
942.41,1.602156,0.006407
943.96,1.602075,0.006166
945.51,1.601986,0.005929
947.06,1.601888,0.005697
948.61,1.601783,0.005469
950.16,1.601671,0.005247
951.71,1.601551,0.005029
953.26,1.601425,0.004816
954.81,1.601293,0.004609
956.35,1.601155,0.004407
957.9,1.601012,0.00421
959.45,1.600863,0.00402
961,1.60071,0.003835
962.55,1.600553,0.003655
964.09,1.600392,0.003482
965.64,1.600227,0.003314
967.19,1.600059,0.003153
968.73,1.599888,0.002996
970.28,1.599714,0.002846
971.82,1.599538,0.002701
973.37,1.59936,0.002562
974.92,1.59918,0.002428
976.46,1.598999,0.0023
978.01,1.598817,0.002177
979.55,1.598633,0.002059
981.09,1.598449,0.001947
982.64,1.598264,0.001839
984.18,1.598078,0.001736
985.73,1.597893,0.001638
987.27,1.597707,0.001544
988.81,1.597521,0.001455
990.36,1.597336,0.001371
991.9,1.597151,0.00129
993.44,1.596967,0.001213
994.98,1.596783,0.00114
996.53,1.5966,0.001071
998.07,1.596418,0.001006
999.61,1.596236,0.000944
1012.27,1.59479,0.000548
1015.67,1.594416,0.000471
1019.08,1.594048,0.000403
1022.48,1.593688,0.000344
1025.88,1.593334,0.000293
1029.29,1.592986,0.00025
1032.69,1.592646,0.000212
1036.09,1.592311,0.000179
1039.5,1.591982,0.000151
1042.9,1.59166,0.000128
1046.3,1.591343,0.000107
1049.7,1.59103,0.00009
1053.11,1.590723,0.000076
1056.51,1.590421,0.000063
1059.91,1.590123,0.000053
1063.31,1.589829,0.000044
1066.71,1.589538,0.000037
1070.11,1.589252,0.000031
